#timebase=-294967296(ps)
,#voltbase=2000000(mv/100)
#size=4164
8.78E-03,3.360
8.80E-03,3.280
8.82E-03,3.280
8.84E-03,3.360
8.86E-03,3.440
8.88E-03,3.360
8.90E-03,3.280
8.92E-03,3.280
8.94E-03,3.360
8.96E-03,3.280
8.98E-03,3.360
9.00E-03,3.280
9.02E-03,3.280
9.04E-03,3.280
9.06E-03,3.280
9.08E-03,3.280
9.10E-03,3.360
9.12E-03,3.440
9.14E-03,3.360
9.16E-03,3.440
9.18E-03,3.280
9.20E-03,3.280
9.22E-03,3.280
9.24E-03,3.360
9.26E-03,3.280
9.28E-03,3.280
9.30E-03,3.280
9.32E-03,3.440
9.34E-03,3.280
9.36E-03,3.280
9.38E-03,3.280
9.40E-03,3.280
9.42E-03,3.440
9.44E-03,3.360
9.46E-03,3.360
9.48E-03,3.280
9.50E-03,3.280
9.52E-03,3.280
9.54E-03,3.280
9.56E-03,3.280
9.58E-03,3.280
9.60E-03,3.280
9.62E-03,3.360
9.64E-03,3.360
9.66E-03,3.280
9.68E-03,3.280
9.70E-03,3.360
9.72E-03,3.440
9.74E-03,3.280
9.76E-03,3.280
9.78E-03,3.360
9.80E-03,3.280
9.82E-03,3.360
9.84E-03,3.440
9.86E-03,3.280
9.88E-03,3.440
9.90E-03,3.280
9.92E-03,3.360
9.94E-03,3.360
9.96E-03,3.280
9.98E-03,3.280
1.00E-02,3.280
1.00E-02,3.280
1.00E-02,3.360
1.01E-02,3.360
1.01E-02,3.360
1.01E-02,3.280
1.01E-02,3.280
1.01E-02,3.440
1.02E-02,3.280
1.02E-02,3.280
1.02E-02,3.440
1.02E-02,3.360
1.02E-02,3.440
1.03E-02,3.280
1.03E-02,3.360
1.03E-02,3.280
1.03E-02,3.280
1.03E-02,3.280
1.04E-02,3.280
1.04E-02,3.280
1.04E-02,3.360
1.04E-02,3.280
1.04E-02,3.280
1.05E-02,3.360
1.05E-02,3.280
1.05E-02,3.360
1.05E-02,3.280
1.05E-02,3.360
1.06E-02,3.280
1.06E-02,3.360
1.06E-02,3.360
1.06E-02,3.360
1.06E-02,3.440
1.07E-02,3.440
1.07E-02,3.360
1.07E-02,3.360
1.07E-02,3.280
1.07E-02,3.360
1.08E-02,3.280
1.08E-02,3.440
1.08E-02,3.360
1.08E-02,3.360
1.08E-02,3.280
1.09E-02,3.280
1.09E-02,3.280
1.09E-02,3.360
1.09E-02,3.280
1.09E-02,3.280
1.10E-02,3.280
1.10E-02,3.360
1.10E-02,3.360
1.10E-02,3.360
1.10E-02,3.360
1.11E-02,3.280
1.11E-02,3.280
1.11E-02,3.440
1.11E-02,3.360
1.11E-02,3.280
1.12E-02,3.280
1.12E-02,3.360
1.12E-02,3.440
1.12E-02,3.280
1.12E-02,3.360
1.13E-02,3.360
1.13E-02,3.280
1.13E-02,3.360
1.13E-02,3.280
1.13E-02,3.280
1.14E-02,3.360
1.14E-02,3.280
1.14E-02,3.360
1.14E-02,3.280
1.14E-02,3.280
1.15E-02,3.360
1.15E-02,3.280
1.15E-02,3.360
1.15E-02,3.360
1.15E-02,3.280
1.16E-02,3.280
1.16E-02,3.280
1.16E-02,3.440
1.16E-02,3.440
1.16E-02,3.280
1.17E-02,3.280
1.17E-02,3.280
1.17E-02,3.280
1.17E-02,3.440
1.17E-02,3.440
1.18E-02,3.280
1.18E-02,3.280
1.18E-02,3.280
1.18E-02,3.360
1.18E-02,3.280
1.19E-02,3.440
1.19E-02,3.360
1.19E-02,3.280
1.19E-02,3.360
1.19E-02,3.280
1.20E-02,3.280
1.20E-02,3.360
1.20E-02,3.280
1.20E-02,3.280
1.20E-02,3.280
1.21E-02,3.360
1.21E-02,3.360
1.21E-02,3.440
1.21E-02,3.280
1.21E-02,3.280
1.22E-02,3.360
1.22E-02,3.360
1.22E-02,3.280
1.22E-02,3.360
1.22E-02,3.280
1.23E-02,3.280
1.23E-02,3.360
1.23E-02,3.280
1.23E-02,3.440
1.23E-02,3.360
1.24E-02,3.280
1.24E-02,3.280
1.24E-02,3.360
1.24E-02,3.280
1.24E-02,3.360
1.25E-02,3.360
1.25E-02,3.280
1.25E-02,3.280
1.25E-02,3.440
1.25E-02,3.360
1.26E-02,3.360
1.26E-02,3.280
1.26E-02,3.360
1.26E-02,3.280
1.26E-02,3.360
1.27E-02,3.280
1.27E-02,3.360
1.27E-02,3.360
1.27E-02,3.280
1.27E-02,3.280
1.28E-02,3.280
1.28E-02,3.360
1.28E-02,3.440
1.28E-02,3.360
1.28E-02,3.280
1.29E-02,3.440
1.29E-02,3.440
1.29E-02,3.280
1.29E-02,3.280
1.29E-02,3.360
1.30E-02,3.440
1.30E-02,3.440
1.30E-02,3.280
1.30E-02,3.440
1.30E-02,3.440
1.31E-02,3.440
1.31E-02,3.280
1.31E-02,3.440
1.31E-02,3.440
1.31E-02,3.360
1.32E-02,3.360
1.32E-02,3.440
1.32E-02,3.440
1.32E-02,3.360
1.32E-02,3.280
1.33E-02,3.440
1.33E-02,3.360
1.33E-02,3.360
1.33E-02,3.280
1.33E-02,3.280
1.34E-02,3.440
1.34E-02,3.360
1.34E-02,3.360
1.34E-02,3.280
1.34E-02,3.280
1.35E-02,3.360
1.35E-02,3.280
1.35E-02,3.280
1.35E-02,3.360
1.35E-02,3.360
1.36E-02,3.280
1.36E-02,3.360
1.36E-02,3.280
1.36E-02,3.440
1.36E-02,3.360
1.37E-02,3.360
1.37E-02,3.280
1.37E-02,3.280
1.37E-02,3.280
1.37E-02,3.280
1.38E-02,3.360
1.38E-02,3.360
1.38E-02,3.440
1.38E-02,3.360
1.38E-02,3.360
1.39E-02,3.280
1.39E-02,3.280
1.39E-02,3.360
1.39E-02,3.360
1.39E-02,3.360
1.40E-02,3.280
1.40E-02,3.360
1.40E-02,3.280
1.40E-02,3.280
1.40E-02,3.280
1.41E-02,3.440
1.41E-02,3.360
1.41E-02,3.280
1.41E-02,3.280
1.41E-02,3.280
1.42E-02,3.280
1.42E-02,3.360
1.42E-02,3.440
1.42E-02,3.280
1.42E-02,3.440
1.43E-02,3.280
1.43E-02,3.360
1.43E-02,3.360
1.43E-02,3.280
1.43E-02,3.280
1.44E-02,3.440
1.44E-02,3.280
1.44E-02,3.440
1.44E-02,3.280
1.44E-02,3.280
1.45E-02,3.360
1.45E-02,3.440
1.45E-02,3.360
1.45E-02,3.280
1.45E-02,3.280
